crop,area,season,price
wheat,4,zaid,3614
rice,4,kharif,1066
rice,5,kharif,1848
maize,2,kharif,2038
barley,2,rabi,4870
wheat,7,kharif,3858
cotton,5,rabi,2588
wheat,4,rabi,2755
cotton,10,rabi,3601
cotton,10,kharif,3781
barley,1,rabi,2309
wheat,1,rabi,3869
barley,7,zaid,4153
rice,7,zaid,3404
cotton,6,zaid,3008
rice,7,kharif,4943
barley,2,rabi,2032
cotton,2,kharif,2005
millet,2,rabi,2555
millet,6,kharif,3472
barley,1,rabi,2268
cotton,8,kharif,3513
barley,2,kharif,3800
maize,10,zaid,4198
rice,9,rabi,1283
cotton,3,rabi,2125
millet,10,rabi,4282
cotton,1,rabi,3398
rice,9,rabi,1712
barley,5,kharif,1163
wheat,10,rabi,2747
rice,3,kharif,1815
barley,8,kharif,1023
barley,3,rabi,1179
wheat,3,kharif,2392
millet,10,rabi,1936
millet,8,zaid,4883
rice,2,kharif,1570
maize,10,zaid,1096
barley,8,rabi,4253
millet,7,kharif,3901
cotton,6,zaid,3226
rice,7,rabi,1137
wheat,7,zaid,3875
barley,2,kharif,1357
wheat,6,rabi,2643
cotton,4,kharif,1495
rice,3,kharif,3336
maize,4,rabi,3702
cotton,6,zaid,2077
barley,2,zaid,1759
cotton,7,kharif,3292
rice,4,kharif,1603
wheat,3,zaid,3873
barley,1,rabi,1245
cotton,1,kharif,3148
millet,5,zaid,3173
rice,5,kharif,2308
maize,8,kharif,1772
millet,8,rabi,2960
maize,2,kharif,2588
cotton,9,kharif,1598
millet,3,zaid,1595
rice,8,zaid,1297
cotton,3,kharif,3567
barley,6,kharif,4391
wheat,7,kharif,4081
barley,1,rabi,4197
barley,1,kharif,3751
millet,6,rabi,2842
cotton,4,zaid,4717
maize,8,zaid,4888
cotton,7,zaid,4571
millet,3,kharif,3453
cotton,5,rabi,4166
rice,7,zaid,1126
barley,2,zaid,1347
millet,3,zaid,1163
wheat,5,rabi,2150
barley,6,rabi,4425
